id_hagr,aliases,symbol_hugo,name_common,entrez_id,why,band,location_start,location_end,orientation,unigene,swissprot,acc_promoter,acc_orf,acc_cds,references
50,p55 AP-1 C-FOS,FOS,FBJ murine osteosarcoma viral oncogene homolog,2353,putative,14q24.3,74815283,74818666,1,25647,FOS_HUMAN,HS_FOS,NM_005252,NP_005243,"1511730,7684831,10978675,11705637,11389931,7939685,2104680,11976688,1465144,12470896,3127059,10611369,8806666,12391591,1380454,15973154,16564149,10654626,14566971","FOS_BOVIN;Bos taurus,fos;Danio rerio,Fos;Mus musculus,A5A6H0_PAN;Pan troglodytes,Fos;Rattus norvegicus"
51,IMF1 IBGC4 JTK12 PDGFR CD140B PDGFR1 PDGFR-1,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide",5159,downstream,5q31-q32,149473595,149515503,-1,509067,PGFRB_HUMAN,,NM_002609,NP_002600,"12668888,11385629,8645566,11239463","Pdgfrb;Mus musculus,Pdgfrb;Rattus norvegicus"
52,EPO-R,EPOR,erythropoietin receptor,2057,downstream,19p13.3-p1,11349474,11356019,-1,631624,EPOR_HUMAN,,NM_000121,NP_000112,"1324524,9435635,11158582,10943842,11493922","EPOR;Bos taurus,EPOR (2 of;Danio rerio,Epor;Mus musculus,Epor;Rattus norvegicus"
53,SMST,SST,somatostatin,6750,upstream,3q28,188869406,188870808,-1,12409,SMS_HUMAN,HS_SST,NM_001048,NP_001039,"12392795,10499533,11780120,14751587,15464751,10654626,15778722,7904758","SST;Bos taurus,sst1.1;Danio rerio,Sst;Mus musculus,SST;Pan troglodytes,Sst;Rattus norvegicus"
54,MAY1 PKCD nPKC-delta,PRKCD,"protein kinase C, delta",5580,downstream,3p21.31,53170262,53201771,1,155342,KPCD_HUMAN,,NM_006254,NP_006245,"10381525,11976686,11976687,12904329","PRKCD;Bos taurus,tpa-1;Caenorhabditis elegans,prkcd;Danio rerio,PRKCD (1 o;Danio rerio,Prkcd;Mus musculus,PRKCD;Pan troglodytes,Prkcd;Rattus norvegicus,PKC1;Saccharomyces cerevisiae"
55,PPAR NR1C1 hPPAR PPARalpha,PPARA,peroxisome proliferator-activated receptor alpha,5465,putative,22q12-q13,44867017,44958329,1,103110,PPARA_HUMAN,,NM_005036,NP_005027,"9739042,10839530,11514592,12475949,15528772,15603543,16339324,16524678,16341933,17652964,18680716,12594240,16282554,21179166","Q5EA13_BOV;Bos taurus,pparab;Danio rerio,Ppara;Mus musculus,PPARA;Pan troglodytes,Ppara;Rattus norvegicus"
56,PTC MTC1 HSCR1 MEN2A MEN2B RET51 CDHF12 CDHR16 RET-ELE1,RET,ret proto-oncogene,5979,downstream,10q11.2,42892517,42945799,1,350321,RET_HUMAN,,NM_020975,NP_066124,"10398293,8872055,9353177,17298183","RET;Bos taurus,ret1;Danio rerio,Ret;Drosophila melanogaster,Ret;Mus musculus,Q8MJ56_PAN;Pan troglodytes,F1MAG5_RAT;Rattus norvegicus"
57,FCAS3 APLAID,PLCG2,"phospholipase C, gamma 2 (phosphatidylinositol-specific)",5336,downstream,16q24.1,80370430,80549399,1,413111,PLCG2_HUMAN,,NM_002661,NP_002652,"12437926,10647963,9473506,9089578,10764734,7723932","PLCG2;Bos taurus,plc-3;Caenorhabditis elegans,sl;Drosophila melanogaster,Plcg2;Mus musculus,PLCG2;Pan troglodytes,Plcg2;Rattus norvegicus,PLC1;Saccharomyces cerevisiae"
58,PXR1 PBD2A PBD2B PTS1R PTS1-BP,PEX5,peroxisomal biogenesis factor 5,5830,functional,12p13.3,7234223,7255342,1,567327,PEX5_HUMAN,,NM_000319,NP_000310,"12475949,7719337,9288097,10567403","PEX5_BOVIN;Bos taurus,prx-5;Caenorhabditis elegans,pex5;Danio rerio,CG14815;Drosophila melanogaster,Pex5;Mus musculus,PEX5;Pan troglodytes,Pex5;Rattus norvegicus,PEX5;Saccharomyces cerevisiae"
59,E2A E47 ITF1 VDIR TCF-3 bHLHb21,TCF3,transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47),6929,putative,19p13.3,1560294,1601277,-1,371282,TFE2_HUMAN,,NM_003200,NP_003191,"8001125,12714241,10989124,15050281,15037012,15882343,16272318","TCF3;Bos taurus,hlh-2;Caenorhabditis elegans,da;Drosophila melanogaster,Tcf3;Mus musculus,Tcf3;Rattus norvegicus"
60,PARP PPOL ADPRT ARTD1 ADPRT1 PARP-1 ADPRT 1 pADPRT-1,PARP1,poly (ADP-ribose) polymerase 1,142,"functional,putative",1q41-q42,222855240,222902526,-1,177766,PARP1_HUMAN,HS_ADPRT,NM_001618,NP_001609,"1465394,15855340,10471503,9312059,14612404,12470832,11906946,11707919,11121685,11016956,9587069,10077636,12543974,12114629,2559326,9325154,14734561,15044383,12526788,15292449,15336909,12605957,15545322,17913748,15590998,15205477,16141234,15895395,16140981,16107709,16302026,16207712,16628003,20832105,21680843,18835851,19139632,20231360,3103132,22753495","PARP1;Bos taurus,pme-1;Caenorhabditis elegans,parp1;Danio rerio,Parp;Drosophila melanogaster,Parp1;Mus musculus,PARP1;Pan troglodytes,Parp1;Rattus norvegicus"
61,IRIS PSCP BRCAI BRCC1 PNCA4 RNF53 BROVCA1 PPP1R53,BRCA1,"breast cancer 1, early onset",672,mammal,17q21,38449843,38530934,-1,194143,BRCA1_HUMAN,,NM_007294,NP_009225,"12533509,9353177,11795532,8674108,9171368,7545954,10783165,11257107,10220405,10426999,11934988,15292449,12470840,10932184,10691732,16714450,16943438,16675955,17373631,18936166,20016594,19716796,20453858,23535731,12364621,23408054","BRCA1;Bos taurus,BRCA1;Pan troglodytes,Brca1;Rattus norvegicus"
62,DOD UBL5,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",5300,upstream,19p13,9807012,9821356,1,465849,PIN1_HUMAN,HS_PIN1,NM_006221,NP_006212,"12891359,11805292,8606777,10391244,10698738,12397361,12397362,16554819,16480979","PIN1_BOVIN;Bos taurus,Y110A2AL.1;Caenorhabditis elegans,dod;Drosophila melanogaster,Pin1;Mus musculus,PIN1;Pan troglodytes,Pin1;Rattus norvegicus,ESS1;Saccharomyces cerevisiae"
63,BZS DEC CWS1 GLM2 MHAM TEP1 MMAC1 PTEN1 10q23del,PTEN,phosphatase and tensin homolog,5728,model,10q23.3,89613174,89716382,1,500466,PTEN_HUMAN,,NM_000314,NP_000305,"10209098,9353177,10077613,14871929,15190176,15565107,15780592,15637588,16079851,9140396,9697695,16631584,16675393,12908874,18239123,22405073,10051603","PTEN;Bos taurus,tag-83;Caenorhabditis elegans,ptena;Danio rerio,ptenb;Danio rerio,Pten;Drosophila melanogaster,Pten;Mus musculus,PTEN;Pan troglodytes,Pten;Rattus norvegicus"
64,CBP RSTS KAT3A,CREBBP,CREB binding protein,1387,upstream,16p13.3,3716569,3870712,-1,459759,CBP_HUMAN,,NM_004380,NP_004371,"12524341,11867645,10673499,11331617,11818964,11931769,12384703,10435624,15023334,17502379,10215616","cbp-1;Caenorhabditis elegans,crebbpa;Danio rerio,crebbpb;Danio rerio,nej;Drosophila melanogaster,Crebbp;Mus musculus,CREBBP;Pan troglodytes,Crebbp;Rattus norvegicus"
65,HIF1 MOP1 PASD8 HIF-1A bHLHe78 HIF-1alpha HIF1-ALPHA,HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)",3091,"functional,downstream",14q21-q24,61231991,61284729,1,597216,HIF1A_HUMAN,HS_HIF1A,NM_001530,NP_001521,"12470896,10882714,10622722,11792862,12628185,15834661,12032158,15780592,16439820,10074486,12972594,17502379,20141841,20643931,20660157,19633713,17142669,16026332","A0JND0_BOV;Bos taurus,hif1ab;Danio rerio,Hif1a;Mus musculus,A2T772_PAN;Pan troglodytes,Hif1a;Rattus norvegicus"
66,,UBB,ubiquitin B,7314,putative,17p12-p11.,16225091,16226779,1,356190,UBIQ_HUMAN,HS_UBB,NM_018955,NP_061828,"11124436,12016299,3029682,8618554,12226657,7876915,12944592,12200043","UBB_BOVIN;Bos taurus,F52C6.4;Caenorhabditis elegans,Ubb;Mus musculus,UBB;Pan troglodytes"
67,HSSB RF-A RP-A REPA1 RPA70 MST075,RPA1,"replication protein A1, 70kDa",6117,upstream,17p13.3,1680094,1748119,1,461925,RFA1_HUMAN,,NM_002945,NP_002936,"11348659,10373438,10877825,11257107,9611231","Q0VCV0_BOV;Bos taurus,rpa-1;Caenorhabditis elegans,rpa1;Danio rerio,RpA-70;Drosophila melanogaster,Rpa1;Mus musculus,RPA1;Pan troglodytes,Rpa1;Rattus norvegicus,RFA1;Saccharomyces cerevisiae"
68,BS RECQ2 RECQL2 RECQL3,BLM,"Bloom syndrome, RecQ helicase-like",641,functional,15q26.1,89061605,89159601,1,169348,BLM_HUMAN,,NM_000057,NP_000048,"12181313,9808625,5770175,9353177,12803543,12200042,10620009,10783165,10678659,11257107,14712078,14618025,15367665,12024027,16287861","BLM;Bos taurus,him-6;Caenorhabditis elegans,mus309;Drosophila melanogaster,Blm;Mus musculus,BLM;Pan troglodytes,SGS1;Saccharomyces cerevisiae"
69,Bcl-2 PPP1R50,BCL2,B-cell CLL/lymphoma 2,596,functional,18q21.33,58941558,59136910,-1,150749,BCL2_HUMAN,HS_BCL2_2,NM_000633,NP_000624,"9989825,12462383,9315450,8090743,8170972,8692941,11226431,9102310,8358790,9228005,12161751,10656180,9288026,15013668,15295107,12218115,8235659,15489059,15618488,15897889,15911345,16139996,7472523,16198025,16367931,16567372,7946326,16288037,17973971,22343142,16026332","BCL2;Bos taurus,BCL2 (2 of;Danio rerio,Bcl2;Mus musculus,BCL2;Pan troglodytes,Bcl2;Rattus norvegicus"
70,NEF S100 S100-B S100beta,S100B,S100 calcium binding protein B,6285,"upstream,putative",21q22.3,46842958,46849424,-1,422181,S100B_HUMAN,HS_S100B,NM_006272,NP_006263,"12960766,11578776,10675765,8202493,15306236,15126113,15781852",
71,p97 TERA ALS14 IBMPFD IBMPFD1,VCP,valosin-containing protein,7415,downstream,9p13.3,35046560,35062564,-1,529782,TERA_HUMAN,HS_VCP_2,NM_007126,NP_009057,"12937274,11740563,15034582","VCP;Bos taurus,cdc-48.1;Caenorhabditis elegans,cdc-48.2;Caenorhabditis elegans,vcp;Danio rerio,TER94;Drosophila melanogaster,Vcp;Mus musculus,Vcp;Rattus norvegicus,CDC48;Saccharomyces cerevisiae"
72,PEO MDP1 SCAE MIRAS POLG1 POLGA SANDO MTDPS4A MTDPS4B,POLG,"polymerase (DNA directed), gamma",5428,mammal,15q25,87660552,87679030,-1,702153,DPOG1_HUMAN,,NM_002693,NP_002684,"3619920,11431686,11897778,14557557,15164064,12806118,11504725,15181170,15888483,16020738,9742236","E1BDI3_BOV;Bos taurus,polg-1;Caenorhabditis elegans,polg;Danio rerio,tam;Drosophila melanogaster,Polg;Mus musculus,Q679Y6_PAN;Pan troglodytes,Polg;Rattus norvegicus,MIP1;Saccharomyces cerevisiae"
73,IBP3 BP-53,IGFBP3,insulin-like growth factor binding protein 3,3486,upstream,7p13-p12,45725189,45734057,-1,450230,IBP3_HUMAN,HS_IGFBP3,NM_000598,NP_000589,"12933651,12865482,9593409,14871929,11106682,15897889,15888324,15985475,17183314,17173483","igfbp3;Danio rerio,Igfbp3;Mus musculus,IGFBP3;Pan troglodytes,Igfbp3;Rattus norvegicus"
74,EL52 HSPN LAP2 HSP86 HSPC1 HSPCA Hsp89 Hsp90 HSP89A HSP90A HSP90N HSPCAL1 HSPCAL4,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",3320,functional,14q32.33,101617144,101623135,-1,523560,HS90A_HUMAN,HS_HSPCA,NM_005348,NP_005339,"12470898,9228280,8618554,12050657,9845070,12483213,12814804,11518492,12470839,15664730","HS90A_BOVI;Bos taurus,daf-21;Caenorhabditis elegans,hsp90a.2;Danio rerio,Hsp83;Drosophila melanogaster,Hsp90aa1;Mus musculus,Hsp90aa1;Rattus norvegicus,HSC82;Saccharomyces cerevisiae,HSP82;Saccharomyces cerevisiae"
75,GR GCR GRL GCCR,NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",2908,downstream,5q31.3,142639324,142763087,-1,122926,GCR_HUMAN,,NM_000176,NP_000167,"9604929,10678832,12754700,2001394,12954486,11897693,11744092,10673150,9389487,1528857,1770983,16676134,8748120,1940074","F1MN19_BOV;Bos taurus,Nr3c1;Mus musculus,A2T735_PAN;Pan troglodytes,Nr3c1;Rattus norvegicus"
76,TIS8 AT225 G0S30 NGFI-A ZNF225 KROX-24 ZIF-268,EGR1,early growth response 1,1958,upstream,5q31.1,137829079,137832903,1,326035,EGR1_HUMAN,,NM_001964,NP_001955,"8703054,9476963,3127059,11035041,12629205","Q17QJ4_BOV;Bos taurus,egrh-1;Caenorhabditis elegans,egrh-2;Caenorhabditis elegans,egr1;Danio rerio,Egr1;Mus musculus,Egr1;Rattus norvegicus"
77,VPF VEGF MVCD1,VEGFA,vascular endothelial growth factor A,7422,putative,6p12,43845923,43860314,1,73793,VEGFA_HUMAN,,NM_003376,NP_003367,"12554697,10882714,10371499,12181492,8602242,11509733,15834661,12032158,15288700,15465634,9180082,16289925,11978667,15937083,17502379","vegfab;Danio rerio,Vegfa;Mus musculus,Vegfa;Rattus norvegicus"
78,ABL JTK7 p150 c-ABL v-abl bcr/abl,ABL1,"c-abl oncogene 1, receptor tyrosine kinase",25,"functional,downstream",9q34.1,130619260,130792614,1,431048,ABL1_HUMAN,HS_ABL1_3,NM_007313,NP_009297,"10805805,2065353,10700189,10391251,15655364","ABL1;Bos taurus,abl-1;Caenorhabditis elegans,Abl;Drosophila melanogaster,Abl1;Mus musculus,ABL1;Pan troglodytes,Abl1;Rattus norvegicus"
79,FAD FACD FAD1 GLM3 BRCC2 FANCB FANCD PNCA2 FANCD1 BROVCA2,BRCA2,"breast cancer 2, early onset",675,functional,13q12.3,31787616,31871805,1,34012,BRCA2_HUMAN,,NM_000059,NP_000050,"9353177,12619154,9171368,9171369,12442171,8524414,10691732,20453858,10445022","Brca2;Mus musculus,Brca2;Rattus norvegicus"
80,TOP2 TP2A,TOP2A,topoisomerase (DNA) II alpha 170kDa,7153,functional,17q21-q22,35798320,35827695,-1,156346,TOP2A_HUMAN,,NM_001067,NP_001058,"10725663,8008235,2559326,11574892,2836804,7980433,9918785,12042765","top-2;Caenorhabditis elegans,Top2;Drosophila melanogaster,Top2a;Mus musculus,TOP2A_RAT;Rattus norvegicus,TOP2;Saccharomyces cerevisiae"
81,TOPIIB top2beta,TOP2B,topoisomerase (DNA) II beta 180kDa,7155,functional,3p24,25614478,25680792,-1,475733,TOP2B_HUMAN,,NM_001068,NP_001059,"10725663,8008235,2559326,2836804,7980433,10615047,9918785,12042765","F1MU48_BOV;Bos taurus,top-2;Caenorhabditis elegans,top2b;Danio rerio,Top2;Drosophila melanogaster,Top2b;Mus musculus,TOP2B;Pan troglodytes,TOP2;Saccharomyces cerevisiae"
82,p50 KBF1 p105 EBP-1 NF-kB1 NFKB-p50 NFkappaB NF-kappaB NFKB-p105 NF-kappa-B,NFKB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,4790,functional,4q24,103779672,103895661,1,654408,NFKB1_HUMAN,,NM_003998,NP_003989,"9989825,12380689,12020944,11491660,11291593,10978675,9143018,10485710,10485711,11931769,12470896,7834752,14561702,10894547,12150997,12391591,10754263,11493922,12424381,16183991,18599449,22706308,19135889,22302838,18362329,23159929,23019125,16723383,23636330,23521863,15685170,15685173,9011632,12529332","NFKB1;Bos taurus,Rel;Drosophila melanogaster,Nfkb1;Mus musculus,NFKB1;Pan troglodytes,Nfkb1;Rattus norvegicus"
83,TOPI,TOP1,topoisomerase (DNA) I,7150,functional,20q12-q13.,39090875,39186541,1,472737,TOP1_HUMAN,,NM_003286,NP_003277,"11087895,11348659,12937274,14612507,9918785,10759568,12042765,12526788,16261531","F1MN93_BOV;Bos taurus,top-1;Caenorhabditis elegans,top1l;Danio rerio,Top1;Drosophila melanogaster,Top1;Mus musculus,TOP1;Saccharomyces cerevisiae"
84,RECA BRCC5 MRMV2 HRAD51 RAD51A HsRad51 HsT16930,RAD51,"RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)",5888,"cell,functional",15q15.1,38774660,38811646,1,631709,RAD51_HUMAN,HS_RAD51,NM_002875,NP_002866,"12750285,10207108,12619154,8692798,12442171,15980864,12748277,15956778,17183314,16141230,23408054,22753495","RAD51_BOVI;Bos taurus,rad-51;Caenorhabditis elegans,rad51;Danio rerio,spn-A;Drosophila melanogaster,Rad51;Mus musculus,Rad51;Rattus norvegicus,RAD51;Saccharomyces cerevisiae"
85,P18 UBC9 C358B7.1,UBE2I,"ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)",7329,upstream,16p13.3,1299638,1315391,1,302903,UBC9_HUMAN,,NM_194259,NP_919235,"12226657,10806190,12944592,16248985,16326389","A6H744_BOV;Bos taurus,ubc-9;Caenorhabditis elegans,ube2i;Danio rerio,ube2i2;Danio rerio,lwr;Drosophila melanogaster,Ube2i;Mus musculus,UBE2I;Pan troglodytes,Ube2i;Rattus norvegicus,UBC9;Saccharomyces cerevisiae"
86,DIF TNFA TNFSF2 TNF-alpha,TNF,"tumor necrosis factor (TNF superfamily, member 2)",7124,putative,6p21.3,31651328,31654091,1,241570,TNFA_HUMAN,HS_TNF,NM_000594,NP_000585,"8051093,12368201,11640949,14561702,12967692,8673925,9223320,10894547,11405390,11713531,8906799,15271127,16341933,16517142,16516271,16611697,15152190,18599449,17072335,21738489,23159929,23552949,15685173,10195897,14566971","TNFA_BOVIN;Bos taurus,Tnf;Mus musculus,Tnf;Rattus norvegicus"
87,PDK1 PDPK2 PRO0461,PDPK1,3-phosphoinositide dependent protein kinase-1,5170,downstream,16p13.3,2527970,2593189,1,459691,PDPK1_HUMAN,,NM_002613,NP_002604,"9716402,12110585,10364160,12908874","PDPK1;Bos taurus,pdk-1;Caenorhabditis elegans,pdpk1a;Danio rerio,Pdpk1;Mus musculus,LOC467875;Pan troglodytes,Pdpk1;Rattus norvegicus"
88,CEBP C/EBP-alpha,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1050,functional,19q13.1,38482775,38485160,-1,699463,CEBPA_HUMAN,,NM_004364,NP_004355,"15289464,2792758,8798745,11242107,12661007,11684017,7652557,10078198,1840554,15466429,15716955,12530968,18622015,18622014",
89,LAP LIP CRP2 TCF5 IL6DBP NF-IL6 C/EBP-beta,CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta",1051,mammal,20q13.1,48240782,48242619,1,517106,CEBPB_HUMAN,,NM_005194,NP_005185,"15289464,9727068,11024029,1840554,10747954,14688407,15466429,12530968,21183071","F17A9.3;Caenorhabditis elegans,cebpb;Danio rerio,Cebpb;Mus musculus,Cebpb;Rattus norvegicus"
90,MXI MAD2 MXD2 bHLHc11,MXI1,MAX interactor 1,4601,putative,10q24-q25,111975768,112037111,1,501023,MXI1_HUMAN,,NM_005962,NP_005953,"9624006,7773287,8425219","mxi1;Danio rerio,Mxi1;Mus musculus,Mxi1;Rattus norvegicus"
91,CED LAP DPD1 TGFB TGFbeta,TGFB1,"transforming growth factor, beta 1",7040,putative,19q13.2,46528067,46551628,-1,645227,TGFB1_HUMAN,,NM_000660,NP_000651,"10082664,2498805,8885230,8530457,2163767,1901652,11060295,12419465,10480932,11242085,9389733,11329064,7845465,10793168,3487831,2895499,10199402,11744092,15569360,15356634,12571101,15147944,20937129,21638205,20156325,20946987","TGFB1;Bos taurus,tig-3;Caenorhabditis elegans,Tgfb1;Mus musculus,TGFB1;Pan troglodytes,Tgfb1;Rattus norvegicus"
92,CSB CKN2 COFS ARMD5 COFS1 RAD26 UVSS1,ERCC6,"excision repair cross-complementing rodent repair deficiency, complementation group 6",2074,functional,10q11.23,50336714,50417078,-1,,ERCC6_HUMAN,,NM_000124,NP_000115,"7664335,9117983,12483520,12060667,10564257,12419226,14639525,15353794,16107709,16472827,9150142,16754848,17183314,17326724,8855246,11687625","ERCC6;Bos taurus,Ercc6;Mus musculus,Ercc6;Rattus norvegicus,RAD26;Saccharomyces cerevisiae"
93,PJS LKB1 hLKB1,STK11,serine/threonine kinase 11,6794,upstream,19p13.3,1157641,1179428,1,515005,STK11_HUMAN,,NM_000455,NP_000446,"12226664,11509733,11430832,11956081,12060709","STK11;Bos taurus,par-4;Caenorhabditis elegans,stk11;Danio rerio,lkb1;Drosophila melanogaster,Stk11;Mus musculus,STK11;Pan troglodytes,Stk11;Rattus norvegicus"
94,p300 KAT3B RSTS2,EP300,E1A binding protein p300,2033,upstream,22q13.2,39813106,39900578,1,517517,EP300_HUMAN,,NM_001429,NP_001420,"11867645,12384494,12384703,11268218,11430825,9660950,15023334,17502379,20869593,9590171,10215616","EP300;Bos taurus,cbp-1;Caenorhabditis elegans,ep300a;Danio rerio,nej;Drosophila melanogaster,Ep300;Mus musculus,F1LPY5_RAT;Rattus norvegicus"
95,AOA AOA1 AXA1 EAOH EOAHA FHA-HIT,APTX,aprataxin,54840,functional,9p13.3,32962608,32991606,-1,20158,APTX_HUMAN,,NM_175073,NP_778243,"11586299,11586300,14755728,15044383,12629250,12526788","Q5EA08_BOV;Bos taurus,aptx;Danio rerio,APTX;Pan troglodytes,Aptx;Rattus norvegicus"
96,MYL RNF71 PP8675 TRIM19,PML,promyelocytic leukemia,5371,"cell,downstream",15q22,72074066,72126162,1,526464,PML_HUMAN,,NM_033238,NP_150241,"10910364,12093737,11832207,10950866,9122233,9488655,12006491,14992722,15356634,16107615,16141230","PML;Bos taurus,Pml;Mus musculus,Q15JE1_PAN;Pan troglodytes,F1M589_RAT;Rattus norvegicus"
97,,GSK3B,glycogen synthase kinase 3 beta,2932,downstream,3q13.3,121028237,121295203,-1,445733,GSK3B_HUMAN,,NM_002093,NP_002084,"10894547,8710892,11749387,11226152,16687499,16914869,12086851","gsk-3;Caenorhabditis elegans,gsk3b;Danio rerio,gskt;Drosophila melanogaster,Gsk3b;Mus musculus,LOC1006165;Pan troglodytes,Gsk3b;Rattus norvegicus,MRK1;Saccharomyces cerevisiae,RIM11;Saccharomyces cerevisiae"
98,HD IT15,HTT,huntingtin,3064,mammal,4p16.3,3113411,3282656,1,518450,HD_HUMAN,,NM_002111,NP_002102,"9751154,7774020,7618107,7550343,8824873,9020849,2877396,9267033,11988536,11260214,11408619,15340079,15242649,16505167,18242663,20140187,14570852","HTT;Bos taurus,htt;Danio rerio,htt;Drosophila melanogaster,Htt;Mus musculus,HTT;Pan troglodytes,Htt;Rattus norvegicus"
99,AAG6 PKCA PRKACA PKC-alpha,PRKCA,"protein kinase C, alpha",5578,downstream,17q22-q23.,61729387,62237324,1,531704,KPCA_HUMAN,,NM_002737,NP_002728,"12554697,9032752,8848110,7544443","PRKCA;Bos taurus,pkc-2;Caenorhabditis elegans,prkcba;Danio rerio,Pkc53E;Drosophila melanogaster,Prkca;Mus musculus,PRKCA;Pan troglodytes,Prkca;Rattus norvegicus,PKC1;Saccharomyces cerevisiae"
100,SS3R SS3-R SS-3-R SSR-28,SSTR3,somatostatin receptor 3,6753,downstream,22q13.1,35926744,35932853,-1,225995,SSR3_HUMAN,,NM_001051,NP_001042,"10499533,12601018","R106.2;Caenorhabditis elegans,AlCR2;Drosophila melanogaster,star1;Drosophila melanogaster,Sstr3;Mus musculus,Sstr3;Rattus norvegicus"
101,LSH PASG SMARCA6 Nbla10143,HELLS,"helicase, lymphoid-specific",3070,mammal,10q24.2,96295563,96351845,1,655830,HELLS_HUMAN,,NM_018063,NP_060533,"11357197,15105378,10781083,9878251,16094458,15611660","HELLS;Bos taurus,hells;Danio rerio,Hells;Mus musculus,HELLS;Pan troglodytes,Hells;Rattus norvegicus,IRC5;Saccharomyces cerevisiae"
102,HALP2 APOCIII,APOC3,apolipoprotein C-III,345,putative,11q23.1-q2,116205833,116208997,1,73849,APOC3_HUMAN,HS_APOC3,NM_000040,NP_000031,"15546000,11193221,15013661,15258425,15609108,19074352,16602826","APOC3_BOVI;Bos taurus,Apoc3;Mus musculus,APOC3;Pan troglodytes"
103,EF2 EF-2 EEF-2 SCA26,EEF2,eukaryotic translation elongation factor 2,1938,putative,19pter-q12,3927054,3936446,-1,515070,EF2_HUMAN,,NM_001961,NP_001952,"12297334,9895228,2038215,3833544,8389544","EF2_BOVIN;Bos taurus,eef-2;Caenorhabditis elegans,eef2b;Danio rerio,eef2l2;Danio rerio,Ef2b;Drosophila melanogaster,Eef2;Mus musculus,LOC1006143;Pan troglodytes,Eef2;Rattus norvegicus,EFT1;Saccharomyces cerevisiae,EFT2;Saccharomyces cerevisiae"
104,XPB BTF2 GTF2H RAD25 TFIIH,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",2071,functional,2q21,127731095,127767982,-1,469872,ERCC3_HUMAN,HS_ERCC3,NM_000122,NP_000113,"9353177,10877825,8202161,10827951,11239393,2167179,8304337,8465201,11341993,8855246","ERCC3_BOVI;Bos taurus,Y66D12A.15;Caenorhabditis elegans,ercc3;Danio rerio,hay;Drosophila melanogaster,Ercc3;Mus musculus,Ercc3;Rattus norvegicus,SSL2;Saccharomyces cerevisiae"
105,TRF PIN2 TRF1 TRBF1 t-TRF1 hTRF1-AS,TERF1,telomeric repeat binding factor (NIMA-interacting) 1,7013,functional,8q13,74083662,74122281,1,442707,TERF1_HUMAN,,NM_017489,NP_059523,"10669743,10338214,9034193,12944479,12757977,11063723,15189140,15200954,19679647","TERF1;Bos taurus,terf1;Danio rerio,Terf1;Mus musculus,TERF1;Pan troglodytes,Terf1;Rattus norvegicus"
106,HYRC p350 DNAPK DNPK1 HYRC1 XRCC7 DNA-PKcs,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide",5591,functional,8q11,48848221,49035296,-1,700597,PRKDC_HUMAN,,NM_006904,NP_008835,"12919958,9122213,11577237,10403253,7851793,7708751,11889123,9325154,15059890,11279128,15545322,12202749,16141234,17072335,9716137,12426399","PRKDC;Bos taurus,Prkdc;Mus musculus,PRKDC;Pan troglodytes"
107,,CAT,catalase,847,model,11p13,34417068,34450183,1,502302,CATA_HUMAN,,NM_001752,NP_001743,"8108730,12743125,11033419,10968795,11117918,12815103,12792161,12521602,10767579,2268310,2308162,1999334,11382788,10567403,15295107,15308771,11182520,11479740,8655605,15879174,16129095,16288288,16213688,16260109,16298100,16298747,16518719,16563232,16581216,14996832,15954861,15059885,17446436,17201740,21109199,18772469,19652361,23277187,16723383,15101064","CATA_BOVIN;Bos taurus,ctl-1;Caenorhabditis elegans,ctl-2;Caenorhabditis elegans,ctl-3;Caenorhabditis elegans,Cat;Drosophila melanogaster,CG9314;Drosophila melanogaster,Cat;Mus musculus,CAT;Pan troglodytes,Cat;Rattus norvegicus,CTA1;Saccharomyces cerevisiae"
109,XPG UVDR XPGC COFS3 ERCM2,ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5",2073,functional,13q22,102296420,102326346,1,258429,ERCC5_HUMAN,,NM_000123,NP_000114,"9020084,8078765,8090225,11341993,8855246","Q3B7N6_BOV;Bos taurus,xpg-1;Caenorhabditis elegans,mus201;Drosophila melanogaster,Ercc5;Mus musculus,ERCC5;Pan troglodytes,RAD2;Saccharomyces cerevisiae"
110,KD AIS TFM DHTR SBMA HYSP1 NR3C4 SMAX1 HUMARA,AR,androgen receptor,367,upstream,Xq11.2-q12,66546894,66727140,1,496240,ANDR_HUMAN,,NM_000044,NP_000035,"11517186,9535105,11152658,12370412,15212846,15582276,15919793,16923962,16707422","ar;Danio rerio,Ar;Mus musculus,Ar;Rattus norvegicus"
