id_hagr	aliases	symbol_hugo	name_common	entrez_id	why	band	location_start	location_end	orientation	unigene	swissprot	acc_promoter	acc_orf	acc_cds	references
71	p97 TERA ALS14 IBMPFD IBMPFD1	VCP	valosin-containing protein	7415	downstream	9p13.3	35046560	35062564	-1	529782	TERA_HUMAN	HS_VCP_2	NM_007126	NP_009057	129,372,741,174,056,000,000,000
72	PEO MDP1 SCAE MIRAS POLG1 POLGA SANDO MTDPS4A MTDPS4B	POLG	polymerase (DNA directed), gamma	5428	mammal	15q25	87660552	87679030	-1	702153	DPOG1_HUMAN		NM_002693	NP_002684	36,199,201,143,168,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
73	IBP3 BP-53	IGFBP3	insulin-like growth factor binding protein 3	3486	upstream	7p13-p12	45725189	45734057	-1	450230	IBP3_HUMAN	HS_IGFBP3	NM_000598	NP_000589	1,293,365,112,865,480,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
74	EL52 HSPN LAP2 HSP86 HSPC1 HSPCA Hsp89 Hsp90 HSP89A HSP90A HSP90N HSPCAL1 HSPCAL4	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	3320	functional	14q32.33	101617144	101623135	-1	523560	HS90A_HUMAN	HS_HSPCA	NM_005348	NP_005339	12,470,898,922,828,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
75	GR GCR GRL GCCR	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2908	downstream	5q31.3	142639324	142763087	-1	122926	GCR_HUMAN		NM_000176	NP_000167	960,492,910,678,832,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
76	TIS8 AT225 G0S30 NGFI-A ZNF225 KROX-24 ZIF-268	EGR1	early growth response 1	1958	upstream	5q31.1	137829079	137832903	1	326035	EGR1_HUMAN		NM_001964	NP_001955	8,703,054,947,696,330,000,000,000,000,000,000,000
77	VPF VEGF MVCD1	VEGFA	vascular endothelial growth factor A	7422	putative	6p12	43845923	43860314	1	73793	VEGFA_HUMAN		NM_003376	NP_003367	1,255,469,710,882,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
78	ABL JTK7 p150 c-ABL v-abl bcr/abl	ABL1	c-abl oncogene 1, receptor tyrosine kinase	25	functional,downstream	9q34.1	130619260	130792614	1	431048	ABL1_HUMAN	HS_ABL1_3	NM_007313	NP_009297	108,058,052,065,353,000,000,000,000,000,000,000,000
79	FAD FACD FAD1 GLM3 BRCC2 FANCB FANCD PNCA2 FANCD1 BROVCA2	BRCA2	breast cancer 2, early onset	675	functional	13q12.3	31787616	31871805	1	34012	BRCA2_HUMAN		NM_000059	NP_000050	93,531,771,261,915,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
80	TOP2 TP2A	TOP2A	topoisomerase (DNA) II alpha 170kDa	7153	functional	17q21-q22	35798320	35827695	-1	156346	TOP2A_HUMAN		NM_001067	NP_001058	10,725,663,800,823,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000
81	TOPIIB top2beta	TOP2B	topoisomerase (DNA) II beta 180kDa	7155	functional	3p24	25614478	25680792	-1	475733	TOP2B_HUMAN		NM_001068	NP_001059	10,725,663,800,823,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000
82	p50 KBF1 p105 EBP-1 NF-kB1 NFKB-p50 NFkappaB NF-kappaB NFKB-p105 NF-kappa-B	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	4790	functional	4q24	103779672	103895661	1	654408	NFKB1_HUMAN		NM_003998	NP_003989	9989825,12380689,12020944,11491660,11291593,10978675,9143018,10485710,10485711,11931769,12470896,7834752,14561702,10894547,12150997,12391591,10754263,11493922,12424381,16183991,18599449,22706308,19135889,22302838,18362329,23159929,23019125,16723383,23636330,23521863,15685170,15685173,9011632,12529332
83	TOPI	TOP1	topoisomerase (DNA) I	7150	functional	20q12-q13.	39090875	39186541	1	472737	TOP1_HUMAN		NM_003286	NP_003277	11,087,895,113,486,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
84	RECA BRCC5 MRMV2 HRAD51 RAD51A HsRad51 HsT16930	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	5888	cell,functional	15q15.1	38774660	38811646	1	631709	RAD51_HUMAN	HS_RAD51	NM_002875	NP_002866	12,750,285,102,071,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
85	P18 UBC9 C358B7.1	UBE2I	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	7329	upstream	16p13.3	1299638	1315391	1	302903	UBC9_HUMAN		NM_194259	NP_919235	1,222,665,710,806,190,000,000,000,000,000,000,000,000
86	DIF TNFA TNFSF2 TNF-alpha	TNF	tumor necrosis factor (TNF superfamily, member 2)	7124	putative	6p21.3	31651328	31654091	1	241570	TNFA_HUMAN	HS_TNF	NM_000594	NP_000585	###############################################################################################################################################################################################################################################################
87	PDK1 PDPK2 PRO0461	PDPK1	3-phosphoinositide dependent protein kinase-1	5170	downstream	16p13.3	2527970	2593189	1	459691	PDPK1_HUMAN		NM_002613	NP_002604	9,716,402,121,105,850,000,000,000,000,000
88	CEBP C/EBP-alpha	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	1050	functional	19q13.1	38482775	38485160	-1	699463	CEBPA_HUMAN		NM_004364	NP_004355	152,894,642,792,758,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
89	LAP LIP CRP2 TCF5 IL6DBP NF-IL6 C/EBP-beta	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	1051	mammal	20q13.1	48240782	48242619	1	517106	CEBPB_HUMAN		NM_005194	NP_005185	1,528,946,497,270,680,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
90	MXI MAD2 MXD2 bHLHc11	MXI1	MAX interactor 1	4601	putative	10q24-q25	111975768	112037111	1	501023	MXI1_HUMAN		NM_005962	NP_005953	962,400,677,732,878,000,000
91	CED LAP DPD1 TGFB TGFbeta	TGFB1	transforming growth factor, beta 1	7040	putative	19q13.2	46528067	46551628	-1	645227	TGFB1_HUMAN		NM_000660	NP_000651	###############################################################################################################################################################################################################################################################
92	CSB CKN2 COFS ARMD5 COFS1 RAD26 UVSS1	ERCC6	excision repair cross-complementing rodent repair deficiency, complementation group 6	2074	functional	10q11.23	50336714	50417078	-1		ERCC6_HUMAN		NM_000124	NP_000115	7,664,335,911,798,310,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
93	PJS LKB1 hLKB1	STK11	serine/threonine kinase 11	6794	upstream	19p13.3	1157641	1179428	1	515005	STK11_HUMAN		NM_000455	NP_000446	1,222,666,411,509,730,000,000,000,000,000,000,000,000
94	p300 KAT3B RSTS2	EP300	E1A binding protein p300	2033	upstream	22q13.2	39813106	39900578	1	517517	EP300_HUMAN		NM_001429	NP_001420	11,867,645,123,844,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
95	AOA AOA1 AXA1 EAOH EOAHA FHA-HIT	APTX	aprataxin	54840	functional	9p13.3	32962608	32991606	-1	20158	APTX_HUMAN		NM_175073	NP_778243	115,862,991,158,630,000,000,000,000,000,000,000,000,000,000,000
96	MYL RNF71 PP8675 TRIM19	PML	promyelocytic leukemia	5371	cell,downstream	15q22	72074066	72126162	1	526464	PML_HUMAN		NM_033238	NP_150241	10,910,364,120,937,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
97		GSK3B	glycogen synthase kinase 3 beta	2932	downstream	3q13.3	121028237	121295203	-1	445733	GSK3B_HUMAN		NM_002093	NP_002084	1,089,454,787,108,920,000,000,000,000,000,000,000,000,000,000,000,000,000
98	HD IT15	HTT	huntingtin	3064	mammal	4p16.3	3113411	3282656	1	518450	HD_HUMAN		NM_002111	NP_002102	97,511,547,774,020,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
99	AAG6 PKCA PRKACA PKC-alpha	PRKCA	protein kinase C, alpha	5578	downstream	17q22-q23.	61729387	62237324	1	531704	KPCA_HUMAN		NM_002737	NP_002728	12,554,697,903,275,200,000,000,000,000
100	SS3R SS3-R SS-3-R SSR-28	SSTR3	somatostatin receptor 3	6753	downstream	22q13.1	35926744	35932853	-1	225995	SSR3_HUMAN		NM_001051	NP_001042	1,049,953,312,601,010
101	LSH PASG SMARCA6 Nbla10143	HELLS	helicase, lymphoid-specific	3070	mammal	10q24.2	96295563	96351845	1	655830	HELLS_HUMAN		NM_018063	NP_060533	11,357,197,151,053,700,000,000,000,000,000,000,000,000,000,000
102	HALP2 APOCIII	APOC3	apolipoprotein C-III	345	putative	11q23.1-q2	116205833	116208997	1	73849	APOC3_HUMAN	HS_APOC3	NM_000040	NP_000031	15,546,000,111,932,200,000,000,000,000,000,000,000,000,000,000,000,000,000
103	EF2 EF-2 EEF-2 SCA26	EEF2	eukaryotic translation elongation factor 2	1938	putative	19pter-q12	3927054	3936446	-1	515070	EF2_HUMAN		NM_001961	NP_001952	122,973,349,895,228,000,000,000,000,000,000,000
104	XPB BTF2 GTF2H RAD25 TFIIH	ERCC3	excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)	2071	functional	2q21	127731095	127767982	-1	469872	ERCC3_HUMAN	HS_ERCC3	NM_000122	NP_000113	93,531,771,087,782,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
105	TRF PIN2 TRF1 TRBF1 t-TRF1 hTRF1-AS	TERF1	telomeric repeat binding factor (NIMA-interacting) 1	7013	functional	8q13	74083662	74122281	1	442707	TERF1_HUMAN		NM_017489	NP_059523	10,669,743,103,382,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
106	HYRC p350 DNAPK DNPK1 HYRC1 XRCC7 DNA-PKcs	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	5591	functional	8q11	48848221	49035296	-1	700597	PRKDC_HUMAN		NM_006904	NP_008835	129,199,589,122,213,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
107		CAT	catalase	847	model	11p13	34417068	34450183	1	502302	CATA_HUMAN		NM_001752	NP_001743	8108730,12743125,11033419,10968795,11117918,12815103,12792161,12521602,10767579,2268310,2308162,1999334,11382788,10567403,15295107,15308771,11182520,11479740,8655605,15879174,16129095,16288288,16213688,16260109,16298100,16298747,16518719,16563232,16581216,14996832,15954861,15059885,17446436,17201740,21109199,18772469,19652361,23277187,16723383,15101064
109	XPG UVDR XPGC COFS3 ERCM2	ERCC5	excision repair cross-complementing rodent repair deficiency, complementation group 5	2073	functional	13q22	102296420	102326346	1	258429	ERCC5_HUMAN		NM_000123	NP_000114	902,008,480,787,658,000,000,000,000,000,000,000
110	KD AIS TFM DHTR SBMA HYSP1 NR3C4 SMAX1 HUMARA	AR	androgen receptor	367	upstream	Xq11.2-q12	66546894	66727140	1	496240	ANDR_HUMAN		NM_000044	NP_000035	11,517,186,953,510,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
111	p44 BTF2 TFIIH BTF2P44 T-BTF2P44	GTF2H2	general transcription factor IIH, polypeptide 2, 44kDa	2966	downstream	5q12.2-q13	68891824	68924334	1	191356	TF2H2_HUMAN		NM_001515	NP_001506	113,419,931,455,063,000,000,000
112	KU80 KUB2 Ku86 NFIV KARP1 KARP-1	XRCC5	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	7520	mammal	2q35	216799637	216896509	1	388739	KU86_HUMAN		NM_021141	NP_066964	###############################################################################################################################################################################################################################################################
113		PCNA	proliferating cell nuclear antigen	5111	functional	20pter-p12	5043598	5048647	-1	147433	PCNA_HUMAN		NM_182649	NP_872590	1,134,865,912,226,650,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
114	MF1 RAD2 FEN-1	FEN1	flap structure-specific endonuclease 1	2237	downstream	11q12	61316725	61321284	1	409065	FEN1_HUMAN	HS_FEN1	NM_004111	NP_004102	125,547,381,159,802,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
115	APT1 CD95 FAS1 APO-1 FASTM ALPS1A TNFRSF6	FAS	Fas (TNF receptor superfamily, member 6)	355	putative	10q24.1	90740267	90765521	1	244139	TNR6_HUMAN		NM_000043	NP_000034	###############################################################################################################################################################################################################################################################
116	TRF2 TRBF2	TERF2	telomeric repeat binding factor 2	7014	functional	16q22.1	67947035	67977374	-1	63335	TERF2_HUMAN		NM_005652	NP_005643	1,066,974,394,768,990,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
117	ML8 KU70 TLAA CTC75 CTCBF G22P1	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6	2547	functional	22q13.2-q1	40341853	40384542	1	292493	KU70_HUMAN	HS_G22P1	NM_001469	NP_001460	12,377,759,108,805,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
118	CDC2 MDPL POLD CRCS10	POLD1	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	5424	downstream	19q13.3	55579407	55613082	1	279413	DPOD1_HUMAN		NM_002691	NP_002682	11,348,659,112,571,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
119	BCL2L4	BAX	BCL2-associated X protein	581	downstream,putative	19q13.3-q1	54149928	54156331	1	631546	BAX_HUMAN		NM_004324	NP_004315	9,861,011,124,333,630,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
120	RB pRb OSRC pp110 p105-Rb	RB1	retinoblastoma 1	5925	cell	13q14.2	47775911	47954023	1	408528	RB_HUMAN		NM_000321	NP_000312	2673543,2673546,2673542,9219514,1321348,6320372,3162593,8885230,2163767,1901652,1641004,8119953,12581156,10557106,8278403,9537419,10594030,9353177,10950866,1689463,1406932,12379853,1830372,1655277,2895499,3823889,9491888,1881452,7736585,12607001,10199402,12757710,9468140,10958660,1710781,2594029,15688064,12486224,12530968,12882406,15716376,11035041,16481476,16892051,17664422,18800172
121	STA EDMD LEMD5	EMD	emerin	2010	functional	Xq28	153128633	153130728	1	522823	EMD_HUMAN	HS_EMD	NM_000117	NP_000108	789,448,014,996,929,000,000,000,000,000,000,000,000
122	ASH Grb3-3 MST084 NCKAP2 MSTP084 EGFRBP-GRB2	GRB2	growth factor receptor-bound protein 2	2885	downstream	17q24-q25	70825752	70913384	-1	444356	GRB2_HUMAN		NM_002086	NP_002077	756,456,998,656,971,000,000,000,000,000,000,000,000,000,000,000,000
123	FOXO2 AF6q21 FKHRL1 FOXO3A FKHRL1P2	FOXO3	forkhead box O3	2309	model,human_link	6q21	108988761	109108647	1	220950	FOXO3_HUMAN		NM_001455	NP_001446	11884717,15767565,12239572,11154281,11884591,15604409,11242085,8247153,14501182,12882324,12845331,11381260,12763525,19896443,14604822,12855809,12750521,10102273,9353126,11607034,12424797,12801727,9360933,10428762,10783894,14976264,14506287,14980222,11964479,15175753,15295107,15308771,15190176,15383658,15192154,15565107,15895074,15888324,15820683,15905404,16186101,15930121,16288288,14713953,16631584,16631585,16890541,16288037,12908874,9789046,17446436,17254970,21113129,22546858,19196970,18765803,19652361,15084260
124	FKH1 FKHR FOXO1A	FOXO1	forkhead box O1	2308	model	13q14.1	40027816	40138734	-1	370666	FOXO1_HUMAN		NM_002015	NP_002006	15767565,12843179,11242085,14501182,12882324,12845331,11381260,12763525,12750521,9353126,11607034,12424797,12801727,9360933,10428762,10783894,14506287,15220471,15295107,14871929,15190176,15192154,15582274,15888324,15905404,15272020,12530968,16186101,16099946,16288288,15546000,16631584,16631585,9789046,18301748,17446436,17254970,20222901,19426753,20519497,21149440,12219087
125	HSTF1	HSF1	heat shock transcription factor 1	3297	model	8q24.3	145486090	145509187	1	530227	HSF1_HUMAN		NM_005526	NP_005517	1,213,601,493,638,880,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
126	XP1 XPAC	XPA	xeroderma pigmentosum, complementation group A	7507	functional,putative	9q22.3	97516746	97539194	-1	654364	XPA_HUMAN		NM_000380	NP_000371	119,509,989,353,177,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
127	PMSR	MSRA	methionine sulfoxide reductase A	4482	mammal,model	8p23.1	9949235	10323803	1	490981	MSRA_HUMAN		NM_012331	NP_036463	11,867,705,116,067,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
128	RECQ4	RECQL4	RecQ protein-like 4	9401	functional	8q24.3	145707621	145713976	-1	31442	RECQ4_HUMAN		NM_004260	NP_004251	9,117,983,128,035,430,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
129	IPOB MNSOD MVCD6	SOD2	superoxide dismutase 2, mitochondrial	6648	mammal,model	6q25.3	160073582	160084614	-1	487046	SODM_HUMAN	HS_SOD2	NM_000636	NP_000627	12743125,9774481,11514315,12239572,10968795,12815103,14679299,12456885,11226230,7493016,9927656,9462746,12624725,8790408,11382788,15308771,14980699,12072463,7593237,15664623,15621215,12067840,16186101,16129095,15933380,16139868,16288288,16213688,16260109,16298100,16298747,16500693,16518719,16563232,16581216,10425186,16281056,15954861,15059885,17403371,18599449,17641201,17129739,15130751,21108731,19805130,19197346,19633237,9887369,20003469,19652361,21109198,15452146,16687508,19428448
130	ALS SOD ALS1 IPOA hSod1 homodimer	SOD1	superoxide dismutase 1, soluble	6647	model	21q22.1	31953805	31963112	1	443914	SODC_HUMAN	HS_SOD1	NM_000454	NP_000445	8108730,12743125,9620775,8673102,10719757,1383769,12871978,10968795,12815103,12675104,11166032,11114261,8643599,8610185,8209258,8351519,2960971,9228005,8650157,7492966,11382788,14993600,15295107,12072463,7593237,15664623,15897889,10381207,12067840,9858546,16213688,16260109,16298100,16298747,16500693,16518719,16563232,16581216,16636275,16723396,15130751,12060716,7588627
131	MPP2 TGT3 HFH11 HNF-3 INS-1 MPP-2 PIG29 FKHL16 FOXM1B HFH-11 TRIDENT MPHOSPH2	FOXM1	forkhead box M1	2305	functional	12p13	2837110	2856564	-1	239	FOXM1_HUMAN		NM_021953	NP_068772	157,675,651,157,299,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
132	CAT5 CLK1 CLK-1	COQ7	coenzyme Q7 homolog, ubiquinone (yeast)	10229	model	16p13.11-p	18986427	18998851	1	157113	COQ7_HUMAN		NM_016138	NP_057222	9,020,081,105,019,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
133	BI EA2 FHM MHP APCA HPCA MHP1 SCA6 CAV2.1 CACNL1A4	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	773	putative	19p13.2-p1	13179114	13478317	-1	501632	CAC1A_HUMAN		NM_000068	NP_000059	147,242,647,537,420,000,000,000,000,000,000,000,000,000,000,000,000
134	DBS GP330	LRP2	low density lipoprotein receptor-related protein 2	4036	downstream	2q24-q31	169810367	170044520	-1	657729	LRP2_HUMAN		NM_004525	NP_004516	87,108,938,706,697
135	AIF CMTX4 COWCK PDCD8 COXPD6	AIFM1	apoptosis-inducing factor, mitochondrion-associated, 1	9131	functional	Xq25-q26	128988871	129025343	-1	424932	AIFM1_HUMAN		NM_004208	NP_004199	12,114,629,123,530,200,000,000,000,000,000
136	NDGOA PARK5 PGP95 PGP9.5 Uch-L1 PGP 9.5	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	7345	putative	4p14	41099856	41111373	1	518731	UCHL1_HUMAN	HS_UCHL1	NM_004181	NP_004172	977,410,010,471,497,000,000,000,000,000,000,000,000,000,000
137	AAA AD1 PN2 ABPP APPI CVAP ABETA PN-II CTFgamma	APP	amyloid beta (A4) precursor protein	351	putative	21q21.2	26174732	26465003	-1	434980	A4_HUMAN	HS_APP	NM_000484	NP_000475	12708616,12150997,10611368,9796810,1302033,1925564,8346443,10959035,9697696,15176485,11528419,15174014,11567612,10206645,8705854,11959919,11901170,12398927,12470843,11520987,16554819,15778722,15339646,7704018,16751189,16641106,16723396,16815330,16914869,16923396,11978814,22120149,22801501,12761548,9114023,16687508
138	AD2 LPG LDLCQ5	APOE	apolipoprotein E	348	human_link	19q13.2	50100878	50104489	1	654439	APOE_HUMAN	HS_APOE	NM_000041	NP_000032	8136829,10611368,14724064,14688198,8346443,1411543,3283935,7544347,15365129,14718482,12431986,7583250,15584785,15519757,15477624,15461196,15621215,11173885,10571241,10702411,15919593,16079201,7498401,15013661,18054318,19046569,11726538,21418511,22883908,23990795,10587578
139	A2MD CPAMD5 FWP007 S863-7	A2M	alpha-2-macroglobulin	2	putative	12p13.3-p1	9111576	9159754	-1	212838	A2MG_HUMAN		NM_000014	NP_000005	1,095,903,575,443,470,000,000,000,000,000,000,000
140	SR BCSG1	SNCG	synuclein, gamma (breast cancer-specific protein 1)	6623	upstream	10q23.2-q2	88708392	88712995	1	349470	SYUG_HUMAN		NM_003087	NP_003078	10,048,491,146,370,900,000,000,000,000,000,000,000
141	PAG PAGA PAGB PRX1 PRXI MSP23 NKEFA TDPX2 NKEF-A	PRDX1	peroxiredoxin 1	5052	functional,putative	1p34.1	45645800	45656702	-1	180909	PRDX1_HUMAN		NM_181697	NP_859048	12,891,360,152,951,000,000,000,000,000,000
142	ESA PON MVCD5	PON1	paraoxonase 1	5444	putative	7q21.3	94571638	94598495	-1	370995	PON1_HUMAN		NM_000446	NP_000437	14,724,065,128,898,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
143	p65 NFKB3	RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	5970	functional	11q13	65178392	65186951	-1	502875	TF65_HUMAN	HS_RELA	NM_021975	NP_068810	8051093,9989825,10094826,12380689,12020944,11491660,11291593,10978675,9143018,11533489,10485710,10485711,11931769,12470896,10894547,12150997,7603567,9660950,11713531,12391591,10754263,11493922,12424381,16183991,15152190,18599449,22706308,19135889,21738489,23159929,23019125,16723383,23636330,23521863,15685170,15685173,12392794,9011632,12529332
144	HGF HSF BSF2 IL-6 IFNB2	IL6	interleukin 6 (interferon, beta 2)	3569	putative	7p21	22540059	22544856	1	654458	IL6_HUMAN	HS_IL6_2	NM_000600	NP_000591	1,164,094,912,633,940,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
145	RC GNL SMP30	RGN	regucalcin (senescence marker protein-30)	9104	putative	Xp11.3	46694225	46708966	1	77854	RGN_HUMAN		NM_004683	NP_004674	12,368,201,103,606,800,000,000,000,000,000,000,000,000,000,000
146	ATPO OSCP	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	539	model	21q22.1-q2	34197627	34210028	-1	409140	ATPO_HUMAN	HS_ATP5O	NM_001697	NP_001688	1,247,126,692,179,630,000,000
147		RAD52	RAD52 homolog (S. cerevisiae)	5893	cell,functional	12p13-p12.	891503	929109	-1	410355	RAD52_HUMAN		NM_002879	NP_002870	10,207,108,127,503,800,000,000,000,000,000
148	TOP3B1	TOP3B	topoisomerase (DNA) III beta	8940	functional,putative	22q11.22	20635957	20661701	-1	436401	TOP3B_HUMAN		NM_003935	NP_003926	1,133,178,011,257,100,000,000,000,000,000,000,000,000,000,000,000,000,000
149	UV20 COFS4 RAD10	ERCC1	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	2067	functional	19q13.2-q1	50608532	50618642	-1	435981	ERCC1_HUMAN	HS_ERCC1	NM_202001	NP_973730	9,197,240,819,717,470,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
150	SIR2L1	SIRT1	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	23411	mammal,model,cell	10q21.3	69314432	69348147	1	369779	SIRT1_HUMAN		NM_012238	NP_036370	15604409,12524341,11242085,10521401,12482959,12459580,12006491,11672523,12960381,14976264,15189148,11672522,14980222,15220471,15175761,15520384,15254550,15744310,15205477,12024027,16054100,16098828,9278054,15941577,16219030,16286010,16257164,16293764,16183991,16079181,15310905,16269335,16288288,16441846,16443777,16366736,16170353,12887892,16207712,16628003,16751189,16873059,16892051,15152190,16288037,16596166,16939484,16756498,17347648,18054318,16940753,18203716,18599449,17877786,17908559,18590691,17446436,17180656,16923962,22546858,22169038,20023410,19229036,18835033,20020036,19299583,19286518,20008932,18550784,19503100,20622856,21187328,18799131,20655472,20631301,20869593,19041753,18662547,18184747,24011076,23473037,23791176,21938067,21651395,17581637,19295512,20668205
151	HD1 RPD3 GON-10 RPD3L1	HDAC1	histone deacetylase 1	3065	functional	1p34	32426800	32468317	1	88556	HDAC1_HUMAN	HS_HDAC1	NM_004964	NP_004955	126,655,701,245,958,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
152	CSA MOT MOT2 GRP75 PBP74 GRP-75 HSPA9B MTHSP75	HSPA9	heat shock 70kDa protein 9 (mortalin)	3313	model	5q31.1	137918923	137939014	-1	184233	GRP75_HUMAN	HS_HSPA9B_1	NM_004134	NP_004125	1,195,910,212,729,790,000,000,000,000,000
153	GPXD GSHPX1	GPX1	glutathione peroxidase 1	2876	functional	3p21.3	49369614	49370795	-1	76686	GPX1_HUMAN	HS_GPX1	NM_000581	NP_000572	###############################################################################################################################################################################################################################################################
154		GSR	glutathione reductase	2936	functional	8p21.1	30655976	30704985	-1	271510	GSHR_HUMAN		NM_000637	NP_000628	129,564,151,050,657,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
155	GSHS	GSS	glutathione synthetase	2937	functional	20q11.2	32979897	33007262	-1	82327	GSHB_HUMAN	HS_GSS	NM_000178	NP_000169	1,295,641,512,742,530,000,000,000,000,000,000,000,000,000,000
156	GTA4 GSTA4-4	GSTA4	glutathione S-transferase alpha 4	2941	functional	6p12.1	52950709	52968099	-1	485557	GSTA4_HUMAN		NM_001512	NP_001503	1,295,641,512,742,530,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
